"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2025","39.87","41.00","41.85","39.11","12.14M","-0.92%"
"10/02/2025","40.24","36.90","40.25","36.50","21.96M","9.98%"
"10/01/2025","36.59","36.60","37.00","36.26","765.40K","-0.84%"
"09/30/2025","36.90","36.90","37.18","36.70","1.58M","-0.03%"
"09/29/2025","36.91","37.49","37.49","36.80","1.44M","-0.86%"
"09/26/2025","37.23","36.50","37.50","36.50","1.68M","1.78%"
"09/25/2025","36.58","36.25","36.76","36.15","1.25M","1.11%"
"09/24/2025","36.18","36.15","36.50","36.06","1.33M","0.47%"
"09/23/2025","36.01","36.27","36.70","35.94","2.79M","-0.69%"
"09/22/2025","36.26","36.49","36.74","36.10","1.00M","0.14%"
"09/19/2025","36.21","36.83","36.94","36.01","3.03M","-1.60%"
"09/18/2025","36.80","36.20","37.00","36.00","2.53M","2.19%"
"09/17/2025","36.01","36.69","36.69","35.90","824.46K","-0.58%"
"09/16/2025","36.22","36.75","37.30","35.98","4.07M","-1.79%"
"09/15/2025","36.88","35.94","38.45","35.50","10.15M","4.03%"
"09/12/2025","35.45","36.00","36.39","35.20","1.09M","-1.36%"
"09/11/2025","35.94","36.88","37.03","35.90","1.76M","-2.52%"
"09/10/2025","36.87","37.25","37.45","36.80","1.14M","-0.81%"
"09/09/2025","37.17","37.95","37.98","37.03","1.14M","-1.74%"
"09/08/2025","37.83","36.85","39.00","36.30","9.56M","2.99%"